Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"Barber Dime - 90% Silver, Choose How Many!",306413999352,"Jun 24, 2026",$7.89,$0.00,,,Fixed price,https://www.ebay.com/itm/306413999352,32
Lot Of 3 Silver Dimes Barber Mercury And Roosevelt 1892-1964 PDOS,127788470382,"Jun 24, 2026",$18.40,$1.32,,,Fixed price,https://www.ebay.com/itm/127788470382,11
U.S. Barber (Liberty Head) Dimes: 1892-1916 - Whitman Classic Coin Album,204717811865,"Jun 24, 2026",$37.96,$5.95,,,Fixed price,https://www.ebay.com/itm/204717811865,9
[Lot of 5] SILVER Barber Dimes - 90% Silver -,127644143317,"Jun 19, 2026",$35.06,$1.32,,,Fixed price,https://www.ebay.com/itm/127644143317,9
SILVER BARBER DIME showing on vintage unsearched old wheat penny window roll us,406719334875,"Jun 17, 2026",$34.68,$9.99,,,Fixed price,https://www.ebay.com/itm/406719334875,26
"Silver Dime - Random - 90% - Mercury, Roosevelt, Barber - READ DESCRIPTION!!!",177924799105,"May 15, 2026",$5.68,$0.92,,,Fixed price,https://www.ebay.com/itm/177924799105,91
1905-P Barber Dime 90% Silver Average Circ,126192021420,"May 15, 2026",$10.30,$0.00,,,Fixed price,https://www.ebay.com/itm/126192021420,25
5 KOIN Dime Coin Tubes BRAND NEW Mercury Roosevelt Barber Silver 10c storage,204747449754,"May 15, 2026",$9.90,$0.00,,,Fixed price,https://www.ebay.com/itm/204747449754,22
TIGHTLY CRIMPED RED BANK WRAPPED ROLLS OF WHEAT CENTS WITH BARBER DIMES SHOWING,406360640198,"May 14, 2026",$29.06,$10.10,,,Fixed price,https://www.ebay.com/itm/406360640198,139
[Lot of 5] Barber Dimes - 90% Silver - CHOOSE HOW MANY LOTS OF 5 COINS!,155917567200,"May 14, 2026",$34.36,$0.00,,,Fixed price,https://www.ebay.com/itm/155917567200,130
US Coins Indian Head-Lincoln Penny-Silver Barber And Silver Mercury Dimes Lot,127597980266,"May 14, 2026",$13.76,$1.39,,,Fixed price,https://www.ebay.com/itm/127597980266,41
"3 Coin Dime Lot , Mercury Roosevelt Barber 90% Silver Bullion Silver Certificate",264335749576,"May 12, 2026",$19.77,$0.00,,,Fixed price,https://www.ebay.com/itm/264335749576,261
Old US Coin Estate Lot Barber Dime Buffalo Nickel Mercury Dime 3 Coin Set,264606699080,"May 12, 2026",$15.13,$0.00,,,Fixed price,https://www.ebay.com/itm/264606699080,131
4 Coin US Estate Lot Set Barber Dime Indian Head Liberty V & Mercury,255097988946,"May 11, 2026",$14.97,$13.04,,,Fixed price,https://www.ebay.com/itm/255097988946,268
Old US Coin Estate Lot Barber Dime Wheat Cent Mercury Dime 3 Coin Set,254488802584,"May 11, 2026",$12.95,$0.00,,,Fixed price,https://www.ebay.com/itm/254488802584,121
Old US Coin Estate Lot Barber Dime Liberty Nickel Mercury Dime 3 Coin Set,254488781751,"May 11, 2026",$17.88,$0.00,,,Fixed price,https://www.ebay.com/itm/254488781751,55
US Coins Indian Head-Lincoln Penny-Silver Barber And Silver Mercury Dimes Lot,127607931141,"May 11, 2026",$14.86,$1.22,,,Fixed price,https://www.ebay.com/itm/127607931141,23
"Two 90% silver dimes, one Mercury dime and one Barber dime",306344461468,"May 8, 2026",$13.32,$0.00,,,Fixed price,https://www.ebay.com/itm/306344461468,12
